date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:53	31401/31401	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:51%20GMT	https://egemem.com/theme/bitter/v1/preview/index.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/index.html	(from )
14:49:54	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Feb%202020%2007:49:52%20GMT	https://egemem.com/robots.txt		(from )
14:49:55	239999/239999	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2010:07:26%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/css/style.css	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/css/style.css	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:55	6570/6570	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Dec%202019%2010:07:26%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/logo.png	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/logo.png	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:55	16096/16096	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:49%20GMT	https://egemem.com/theme/bitter/v1/preview/blog-post.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/blog-post.html	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:56	36108/36108	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:55%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar3.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar3.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:56	145177/145177	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:07%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo8.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo8.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:57	28751/28751	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:55%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:57	67769/67769	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:03%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo5.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo5.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:58	27788/27788	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:56%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar5.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar5.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:58	46514/46514	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:57%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar6.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar6.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:58	124816/124816	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:13%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo10.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo10.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:58	213372/213372	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:13%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo11.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo11.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:49:59	12479/12479	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:48%20GMT	https://egemem.com/theme/bitter/v1/preview/blog-category.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/blog-category.html	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:00	89561/89561	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:15%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo13.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo13.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:00	52483/52483	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:03%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo4.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo4.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:00	116732/116732	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:00%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo2.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo2.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:00	50078/50078	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:02%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo3.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo3.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:01	34823/34823	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:14%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo12.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo12.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:01	18360/18360	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:15%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/product1.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/product1.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:01	12696/12696	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:15%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/product2.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/product2.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:01	10884/10884	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:15%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/product3.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/product3.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:01	32672/32672	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:16%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/product4.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/product4.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:02	14271/14271	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:16%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/product5.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/product5.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:02	12109/12109	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:17%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/product6.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/product6.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:02	16827/16827	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:16%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/product7.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/product7.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:03	64818/64818	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:36:15%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/photo14.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/photo14.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:03	41236/41236	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:55%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar2.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar2.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:03	36688/36688	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:56%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar4.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar4.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:03	27803/27803	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:57%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar7.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar7.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:03	34184/34184	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2010:35:57%20GMT	https://egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar8.jpg	D:/web/bitter/egemem.com/theme/bitter/v1/preview/assets/img/sample/avatar8.jpg	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:04	23804/23804	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:53%20GMT	https://egemem.com/theme/bitter/v1/preview/pages.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/pages.html	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:04	15003/15003	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:51%20GMT	https://egemem.com/theme/bitter/v1/preview/components.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/components.html	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:04	10362/10362	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:53%20GMT	https://egemem.com/theme/bitter/v1/preview/search.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/search.html	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:04	15802/15802	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:53%20GMT	https://egemem.com/theme/bitter/v1/preview/social-home.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/social-home.html	(from https://egemem.com/theme/bitter/v1/preview/index.html)
14:50:04	4048/4048	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202019%2010:51:53%20GMT	https://egemem.com/theme/bitter/v1/preview/social-chat.html	D:/web/bitter/egemem.com/theme/bitter/v1/preview/social-chat.html	(from https://egemem.com/theme/bitter/v1/preview/index.html)
